8.5000e+02,6.1539e-16,6.1539e-16
8.5100e+02,6.1764e-16,6.1764e-16
8.5200e+02,6.1987e-16,6.1987e-16
8.5300e+02,6.2209e-16,6.2209e-16
8.5400e+02,6.2430e-16,6.2430e-16
8.5500e+02,6.2650e-16,6.2650e-16
8.5600e+02,6.2869e-16,6.2869e-16
8.5700e+02,6.3086e-16,6.3086e-16
8.5800e+02,6.3302e-16,6.3302e-16
8.5900e+02,6.3517e-16,6.3517e-16
8.6000e+02,6.3731e-16,6.3731e-16
8.6100e+02,6.3944e-16,6.3944e-16
8.6200e+02,6.4155e-16,6.4155e-16
8.6300e+02,6.4365e-16,6.4365e-16
8.6400e+02,6.4574e-16,6.4574e-16
8.6500e+02,6.4781e-16,6.4781e-16
8.6600e+02,6.4988e-16,6.4988e-16
8.6700e+02,6.5193e-16,6.5193e-16
8.6800e+02,6.5397e-16,6.5397e-16
8.6900e+02,6.5599e-16,6.5599e-16
8.7000e+02,6.5801e-16,6.5801e-16
8.7100e+02,6.6001e-16,6.6001e-16
8.7200e+02,6.6200e-16,6.6200e-16
8.7300e+02,6.6397e-16,6.6397e-16
8.7400e+02,6.6593e-16,6.6593e-16
8.7500e+02,6.6788e-16,6.6788e-16
8.7600e+02,6.6982e-16,6.6982e-16
8.7700e+02,6.7175e-16,6.7175e-16
8.7800e+02,6.7366e-16,6.7366e-16
8.7900e+02,6.7556e-16,6.7556e-16
8.8000e+02,6.7745e-16,6.7745e-16
8.8100e+02,6.7932e-16,6.7932e-16
8.8200e+02,6.8118e-16,6.8118e-16
8.8300e+02,6.8303e-16,6.8303e-16
